ts,book,equity
2026-09-21T22:45:41.738312+00:00,guarded,10196.101311318005
2026-09-21T22:45:41.739457+00:00,shadow,10367.676721230668
2026-09-21T23:00:45.625107+00:00,guarded,10196.101311318005
2026-09-21T23:00:45.626345+00:00,shadow,10367.676721230668
2026-09-21T23:15:40.041715+00:00,guarded,10196.101311318005
2026-09-21T23:15:40.042974+00:00,shadow,10367.676721230668
2026-09-21T23:30:48.708175+00:00,guarded,10196.101311318005
2026-09-21T23:30:48.709891+00:00,shadow,10367.676721230668
2026-09-21T23:45:36.326703+00:00,guarded,10196.101311318005
2026-09-21T23:45:36.327976+00:00,shadow,10367.676721230668
2026-09-22T00:01:02.871473+00:00,guarded,10196.101311318005
2026-09-22T00:01:02.872798+00:00,shadow,10367.676721230668
2026-09-22T00:01:57.188979+00:00,guarded,10196.101311318005
2026-09-22T00:01:57.190411+00:00,shadow,10367.676721230668
2026-09-22T00:15:42.877117+00:00,guarded,10196.101311318005
2026-09-22T00:15:42.878282+00:00,shadow,10367.676721230668
2026-09-22T00:30:42.135471+00:00,guarded,10196.101311318005
2026-09-22T00:30:42.136816+00:00,shadow,10367.676721230668
2026-09-22T00:45:40.650803+00:00,guarded,10196.101311318005
2026-09-22T00:45:40.652456+00:00,shadow,10367.676721230668
2026-09-22T01:00:44.757531+00:00,guarded,10196.101311318005
2026-09-22T01:00:44.759139+00:00,shadow,10367.676721230668
2026-09-22T01:15:40.306808+00:00,guarded,10196.101311318005
2026-09-22T01:15:40.308349+00:00,shadow,10367.676721230668
2026-09-22T01:30:42.610063+00:00,guarded,10196.101311318005
2026-09-22T01:30:42.611276+00:00,shadow,10367.676721230668
2026-09-22T01:45:37.100570+00:00,guarded,10196.101311318005
2026-09-22T01:45:37.101690+00:00,shadow,10367.676721230668
2026-09-22T02:00:49.916860+00:00,guarded,10196.101311318005
2026-09-22T02:00:49.919164+00:00,shadow,10367.676721230668
2026-09-22T02:15:41.314193+00:00,guarded,10196.101311318005
2026-09-22T02:15:41.315273+00:00,shadow,10367.676721230668
2026-09-22T02:30:40.576503+00:00,guarded,10196.101311318005
2026-09-22T02:30:40.577899+00:00,shadow,10367.676721230668
2026-09-22T02:45:39.532897+00:00,guarded,10196.101311318005
2026-09-22T02:45:39.534619+00:00,shadow,10367.676721230668
2026-09-22T03:00:47.964519+00:00,guarded,10196.101311318005
2026-09-22T03:00:48.002119+00:00,shadow,10367.676721230668
2026-09-22T03:15:59.738724+00:00,guarded,10196.101311318005
2026-09-22T03:15:59.740065+00:00,shadow,10367.676721230668
2026-09-22T03:30:38.968101+00:00,guarded,10196.101311318005
2026-09-22T03:30:38.969333+00:00,shadow,10367.676721230668
2026-09-22T03:45:44.125799+00:00,guarded,10196.101311318005
2026-09-22T03:45:44.127186+00:00,shadow,10367.676721230668
2026-09-22T04:00:43.540954+00:00,guarded,10196.101311318005
2026-09-22T04:00:43.542219+00:00,shadow,10367.676721230668
2026-09-22T04:15:39.954959+00:00,guarded,10196.101311318005
